Region,Rate
Metropolitan Manila,27.96
Cordillera Administrative Region (CAR),54.34
Ilocos Region (Region I),35.53
Cagayan Valley (Region II),53.66
Central Luzon (Region III),63.48
CALABARZON (Region IV-A),55.95
MIMAROPA (Region IV-B),57.3
Bicol Region (Region V),33.36
Western Visayas (Region VI),50.83
Central Visayas (Region VII),62.5
Eastern Visayas (Region VIII),18.93
Zamboanga Peninsula (Region IX),36.87
Northern Mindanao (Region X),53.66
Davao Region (Region XI),88.04
SOCCSKSARGEN (Region XII),93.31
Caraga (Region XIII),59.65
Autonomous Region of Muslim Mindanao (ARMM),16.91
